"","year","state_abb","m_prism_ppt","m_prism_tavg","decade","fips"
"798","2018","MI",101.69938926867,17.995666171875,"2010_2019","26"
"799","2019","MI",111.339222135783,15.6238802394114,"2010_2019","26"
"800","2020","MI",82.941796268198,14.1787047801224,"2010_2019","26"
"801","1981","MN",83.0034031830555,14.833870370831,"1980_1989","27"
"802","1982","MN",87.3906871354606,15.9447551687957,"1980_1989","27"
"803","1983","MN",84.1160427681653,16.771700281394,"1980_1989","27"
"804","1984","MN",86.1793150291162,14.857794659046,"1980_1989","27"
"805","1985","MN",85.2790485992629,14.5226365256059,"1980_1989","27"
"806","1986","MN",100.981179010034,14.9950624984638,"1980_1989","27"
"807","1987","MN",65.9404567584965,17.6822131199634,"1980_1989","27"
"808","1988","MN",62.5695362226232,20.2717657598284,"1980_1989","27"
"809","1989","MN",61.2632105091676,16.6657512737645,"1980_1989","27"
"810","1990","MN",83.2678131266611,16.2240701961459,"1990_1999","27"
"811","1991","MN",98.5880519993236,15.5229581644414,"1990_1999","27"
"812","1992","MN",77.0959346801243,14.8034170999808,"1990_1999","27"
"813","1993","MN",111.179201953252,14.6581652563644,"1990_1999","27"
"814","1994","MN",85.8082479500921,16.5277552148257,"1990_1999","27"
"815","1995","MN",91.2482727699206,16.3012842034462,"1990_1999","27"
"816","1996","MN",75.5456636623275,15.6706730424951,"1990_1999","27"
"817","1997","MN",80.3675454763926,15.9990834024868,"1990_1999","27"
"818","1998","MN",81.7729619248544,16.0949104249923,"1990_1999","27"
"819","1999","MN",85.5330839428382,15.0207265989376,"1990_1999","27"
"820","2000","MN",79.4600086819227,16.3875678589803,"2000_2009","27"
"821","2001","MN",79.5051786729594,14.0722501514175,"2000_2009","27"
"822","2002","MN",107.233895644358,18.1939372831064,"2000_2009","27"
"823","2003","MN",68.8388533356934,15.1421597201125,"2000_2009","27"
"824","2004","MN",113.012699630761,15.3249428981451,"2000_2009","27"
"825","2005","MN",99.3865677319104,15.8476076840832,"2000_2009","27"
"826","2006","MN",70.491838661906,15.4537770867609,"2000_2009","27"
"827","2007","MN",94.9387258656623,17.3915121516435,"2000_2009","27"
"828","2008","MN",84.344979699795,15.8572320126437,"2000_2009","27"
"829","2009","MN",77.1297373561912,13.7467577521437,"2000_2009","27"
"830","2010","MN",109.795991741802,15.8368216013529,"2010_2019","27"
"831","2011","MN",77.6969140171928,15.1787718587639,"2010_2019","27"
"832","2012","MN",70.7930472333722,15.723863344508,"2010_2019","27"
"833","2013","MN",87.8905703065826,16.4044494711605,"2010_2019","27"
"834","2014","MN",92.7452547489366,16.1087822888621,"2010_2019","27"
"835","2015","MN",85.6705534159935,15.5230360858103,"2010_2019","27"
"836","2016","MN",110.345709006751,15.6302552199736,"2010_2019","27"
"837","2017","MN",95.5042627491695,15.1065954324191,"2010_2019","27"
"838","2018","MN",116.917624981279,16.9313279088438,"2010_2019","27"
"839","2019","MN",117.711397054568,14.2910874874708,"2010_2019","27"
"840","2020","MN",96.0058802126268,18.3273965073528,"2010_2019","27"
"841","1981","MO",112.057413418942,16.8500094722007,"1980_1989","29"
"842","1982","MO",106.839014430296,17.3948407513037,"1980_1989","29"
"843","1983","MO",100.58832519604,16.7683375227948,"1980_1989","29"
"844","1984","MO",104.257414379103,17.498460944721,"1980_1989","29"
"845","1985","MO",115.656523483186,16.7377579910974,"1980_1989","29"
"846","1986","MO",113.492883729519,18.7799610284344,"1980_1989","29"
"847","1987","MO",85.4547345637389,17.3595666002402,"1980_1989","29"
"848","1988","MO",72.7545614492843,18.0978873442445,"1980_1989","29"
"849","1989","MO",87.5531385607152,18.8289713260959,"1980_1989","29"
"850","1990","MO",103.120178844319,16.9216753612383,"1990_1999","29"
"851","1991","MO",88.6340022676836,19.0461964761999,"1990_1999","29"
"852","1992","MO",96.8394286884051,15.7322889141106,"1990_1999","29"
"853","1993","MO",151.698989408391,18.7161064559248,"1990_1999","29"
"854","1994","MO",94.388559277081,16.7457192437955,"1990_1999","29"
"855","1995","MO",106.723398238388,17.7252479191793,"1990_1999","29"
"856","1996","MO",109.978929289164,18.9237638874608,"1990_1999","29"
"857","1997","MO",85.9910086823978,15.9236840982969,"1990_1999","29"
"858","1998","MO",115.656351290097,16.225928110853,"1990_1999","29"
"859","1999","MO",77.9292176641527,18.5891741153063,"1990_1999","29"
"860","2000","MO",86.3643746015569,18.6343561174098,"2000_2009","29"
"861","2001","MO",104.133553436729,18.8581426883745,"2000_2009","29"
"862","2002","MO",107.939078938916,19.8299572993364,"2000_2009","29"
"863","2003","MO",102.951493058015,17.9292226381756,"2000_2009","29"
"864","2004","MO",114.957863886176,16.825979666123,"2000_2009","29"
"865","2005","MO",84.9769015765832,18.8366316848635,"2000_2009","29"
"866","2006","MO",93.1841626116195,17.1873333881832,"2000_2009","29"
"867","2007","MO",91.8825492683,17.976477154871,"2000_2009","29"
"868","2008","MO",130.476977866511,17.3045929144398,"2000_2009","29"
"869","2009","MO",130.117880676719,16.1209903467534,"2000_2009","29"
"870","2010","MO",118.102443070677,17.8679846654818,"2010_2019","29"
"871","2011","MO",103.721597333256,17.2803195423553,"2010_2019","29"
"872","2012","MO",76.0569196251161,18.3979150633461,"2010_2019","29"
"873","2013","MO",112.239718755043,19.0811046150089,"2010_2019","29"
"874","2014","MO",125.19491122343,19.3288831458356,"2010_2019","29"
"875","2015","MO",137.670611023164,17.1937596446348,"2010_2019","29"
"876","2016","MO",105.081929197963,18.3631842589974,"2010_2019","29"
"877","2017","MO",108.914657316186,17.3044745486207,"2010_2019","29"
"878","2018","MO",97.8445749610137,18.565131413885,"2010_2019","29"
"879","2019","MO",148.98631207507,19.8768049039456,"2010_2019","29"
"880","2020","MO",108.110884705907,16.7975801263573,"2010_2019","29"
"881","1981","MS",87.1078617474807,19.360343996176,"1980_1989","28"
"882","1982","MS",142.681486092778,18.2927500548234,"1980_1989","28"
"883","1983","MS",131.891373482584,17.4473821072867,"1980_1989","28"
"884","1984","MS",118.954393278838,18.3963542850661,"1980_1989","28"
